Product Page,Product URL,Title,Description,Product Type,Tags,Categories,Visible,Hosted Image URLs,SKU,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Price,Sale Price,On Sale,Weight,Length,Width,Height,Stock
/shop/home-fragrance-and-candlelight/,"Pepper-Dishwashing-Liquid,-500-ml-LQVPVR500","Pepper Dishwashing Liquid, 500 ml LQVPVR500","<p style=""white-space: pre-wrap;"">An exquisite dishwashing liquid (500ml) that respects the environment, takes care of your hands, and protects beautiful ceramics and other precious objects. Not tested on animals.<br></p><ul data-rte-list=""default""><li><p style=""white-space: pre-wrap;"">Price: $21.00</p></li><li><p style=""white-space: pre-wrap;"">Dimensions: 2.4 x 2.4 x 8.9</p></li><li><p style=""white-space: pre-wrap;"">To Purchase: Email us at hello@dixonrye.com or call the shop at 404-883-3939 and we'll be happy to help you with your order.</p></li></ul>",PHYSICAL,,Scented,TRUE,https://static1.squarespace.com/static/553bbe08e4b08cd58584aa12/5b76f0b21ae6cfbc7953017e/5968d9563a0411db2e36d244/1544329507406/LQVPVR500_150805.jpg,70,,,,,,,21.00 USD,0.00 USD,,2,2.4,2.4,8.9,Unlimited
/shop/home-fragrance-and-candlelight/,"Sage-Dishwashing-Liquid,-500-ml-LQVSGE500","Sage Dishwashing Liquid, 500 ml LQVSGE500","<p style=""white-space: pre-wrap;"">An exquisite dishwashing liquid (500ml) that respects the environment, takes care of your hands, and protects beautiful ceramics and other precious objects. Not tested on animals.<br></p><ul data-rte-list=""default""><li><p style=""white-space: pre-wrap;"">Price: $21.00</p></li><li><p style=""white-space: pre-wrap;"">Dimensions: 2.4x2.4x8.9</p></li><li><p style=""white-space: pre-wrap;"">To Purchase: Email us at hello@dixonrye.com or call the shop at 404-883-3939 and we'll be happy to help you with your order.</p></li></ul>",PHYSICAL,,Scented,TRUE,https://static1.squarespace.com/static/553bbe08e4b08cd58584aa12/5b76f0b21ae6cfbc7953017e/5968e431e4fcb5b75a8d4bd3/1544329516757/snrrrphbfs5dxbe7jram.jpg,71,,,,,,,21.00 USD,0.00 USD,,3,2.4,2.4,8.9,Unlimited
/shop/home-fragrance-and-candlelight/,Astier-de-Villatte-Aoyama-Incense-ENCAOY1,Astier de Villatte Aoyama Incense ENCAOY1,"<p style=""white-space: pre-wrap;"">Subtly perfumed, Astier de Villatte's incense immediately bring our favorite places home, leaving long scented traces in their wake. Handmade in France. Box of 125 sticks (6¼"" long), approximately 30 minute burn time/stick.</p><p style=""white-space: pre-wrap;"">Scent: Damp wood, incense, and freshly laundered linen evoke the typical smell of an old, Japanese wooden house from the neighborhood of Aoyama. Exquisite trace of chic Patchouli (damp wood), smoked wood (Gaiac and Vetiver) and Cloves. A harmonious Moss accord, accentuates the feeling of freshness. </p><p style=""white-space: pre-wrap;"">H .75 x W 6” x D 2.5”</p><p style=""white-space: pre-wrap;"">To Purchase: Email us at hello@dixonrye.com or call the shop at 404-883-3939 and we'll be happy to help you with your order.</p>",PHYSICAL,,Scented,TRUE,https://static1.squarespace.com/static/553bbe08e4b08cd58584aa12/5b76f0b21ae6cfbc7953017e/5967e854e45a7ceb6bbb2559/1551994829649/fmauxgiybijysgkigcd4.jpg,75,,,,,,,51.00 USD,0.00 USD,,0.5,6,2.5,0.7,Unlimited
/shop/home-fragrance-and-candlelight/,Astier-de-Villatte-Delhi-Incense-ENCDLP1,Astier de Villatte Delhi Incense ENCDLP1,"<p style=""white-space: pre-wrap;"">Subtly perfumed, Astier de Villatte's incense immediately bring our favorite places home, leaving long scented traces in their wake. Handmade in France. Box of 125 sticks (6¼"" long), approximately 30 minute burn time/stick.</p><p style=""white-space: pre-wrap;"">Scent: Careering by rickshaw through narrow streets in The Old Town. A torpid atmosphere. Scents of a thousand different spices flood your nostrils. Betel, Styrax, Musk, Myrrh. Grey clouds of smoked Vanilla wood. Beedies of herbs and eucalyptus. </p><p style=""white-space: pre-wrap;"">H .75 x W 6” x D 2.5”</p><p style=""white-space: pre-wrap;"">To Purchase: Email us at hello@dixonrye.com or call the shop at 404-883-3939 and we'll be happy to help you with your order.</p>",PHYSICAL,,Scented,TRUE,https://static1.squarespace.com/static/553bbe08e4b08cd58584aa12/5b76f0b21ae6cfbc7953017e/5967e9e16b8f5b166499297f/1551994785266/gwp4obisqdwfmkq5aztj.jpg,75,,,,,,,51.00 USD,0.00 USD,,0.5,6,2.5,0.7,Unlimited
/shop/home-fragrance-and-candlelight/,Astier-de-Villatte-Delhi-Scented-Candle-BGEDLH10,Astier de Villatte Delhi Scented Candle BGEDLH10,"<p style=""white-space: pre-wrap;"">These luxe candles are crafted from natural vegetable wax and carefully scented with pure soy oil. They're hand poured into simple glass jars and paired with a cotton wick. Each candle is finished with a label, printed by France's last remaining typesetter and featuring a unique image representative of the location it's meant to evoke. Approximately 60 hours burn time.</p><p style=""white-space: pre-wrap;"">H 4” x W 3.5” x D 3.5</p><p style=""white-space: pre-wrap;"">Scent: A spicy plunge into the heart of the old town. Narrow back streets; buildings upon buildings; an overheated atmosphere - a thousand heady flavours rise to your senses: betel, benzoin, musk and myrrh, flushes of smoked wood, vanilla emanations, herbal and eucalyptus beedies.</p>",PHYSICAL,,"Scented, Astier De Villatte",TRUE,https://static1.squarespace.com/static/553bbe08e4b08cd58584aa12/5b76f0b21ae6cfbc7953017e/5967eb55c534a5c47db692bf/1547525743518/yg4c80f3vpxleqqq855x.jpg,76,,,,,,,83.00 USD,0.00 USD,,1,3.5,3.5,3.9,Unlimited
/shop/home-fragrance-and-candlelight/,Astier-de-Villatte-Grand-Chalet-Incense-ENCGCH1,Astier de Villatte Grand Chalet Incense ENCGCH1,"<p style=""white-space: pre-wrap;"">Subtly perfumed, Astier de Villatte's incense immediately bring our favorite places home, leaving long scented traces in their wake. Handmade in France. Box of 125 sticks (6¼"" long), approximately 30 minute burn time/stick.</p><p style=""white-space: pre-wrap;"">Scent: Lost in Swiss Alpine pastures, at the heart of a small and peaceful village, stands the imposing and magnificent wooden structure of the Grand Chalet. It was here, in this unique landscape with its healing climate, that the painter Balthus made his home, enchanted by the fragrances of milk, honey and hints of citrus from the ancient lime trees that surrounded his studio. Today, like a wonderful memory, his favourite perfume fills this place once again. </p><p style=""white-space: pre-wrap;"">H .75 x W 6” x D 2.5”</p><p style=""white-space: pre-wrap;"">To Purchase: Email us at hello@dixonrye.com or call the shop at 404-883-3939 and we'll be happy to help you with your order.</p>",PHYSICAL,,Scented,TRUE,https://static1.squarespace.com/static/553bbe08e4b08cd58584aa12/5b76f0b21ae6cfbc7953017e/5967ebd4579fb3a0127788c6/1551994796557/do8k6sa20ib7aom4p4d5.jpg,77,,,,,,,51.00 USD,0.00 USD,,0.5,6,2.5,0.7,Unlimited
/shop/home-fragrance-and-candlelight/,Astier-de-Villatte-Hollywood-Incense-ENCHLL1,Astier de Villatte Hollywood Incense ENCHLL1,"<p style=""white-space: pre-wrap;"">Subtly perfumed, Astier de Villatte's incense immediately bring our favorite places home, leaving long scented traces in their wake. Handmade in France. Box of 125 sticks (6¼"" long), approximately 30 minute burn time/stick.</p><p style=""white-space: pre-wrap;"">Scent: A new mythical fragrance rises over Sunset Boulevard: a delicate dusting of iris and patchouli leads us down the yellow brick road of Hollywood studios, blending with the sunny cedarwood, eucalyptus and vetiver scents of Southern Californiaâs luxuriant vegetation. </p><p style=""white-space: pre-wrap;"">H .75 x W 6” x D 2.5”</p><p style=""white-space: pre-wrap;"">To Purchase: Email us at hello@dixonrye.com or call the shop at 404-883-3939 and we'll be happy to help you with your order.</p>",PHYSICAL,,Scented,TRUE,https://static1.squarespace.com/static/553bbe08e4b08cd58584aa12/5b76f0b21ae6cfbc7953017e/5967ed87099c01e15e9ea973/1551994807608/x7lqdgvnzwpuvv6nimeg.jpg,78,,,,,,,51.00 USD,0.00 USD,,0.5,6,2.5,0.7,Unlimited
/shop/astier-de-villatte/scents/products/,Astier-de-Villatte-Marienbad-Incense-ENCMRN1,Astier de Villatte Marienbad Incense ENCMRN1,"<p style=""white-space: pre-wrap;"">Subtly perfumed, Astier de Villatte's incense immediately bring our favorite places home, leaving long scented traces in their wake. Handmade in France. Box of 125 sticks (6¼"" long), approximately 30 minute burn time/stick.</p><p style=""white-space: pre-wrap;"">Scent: Subtly perfumed, Astier de Villatte's incense immediately bring our favorite places home, leaving long scented traces in their wake. Handmade in France. Box of 125 sticks (6¼"" long), approximately 30 minute burn time/stick.</p><p style=""white-space: pre-wrap;"">Scent: The mythical health spa preferred by Franz Kafka, with its baroque architecture where under the rococo arcades of its thermal baths floats the fragrant aromas of green tea, cardamom and nutmeg, while the healing waters exude aromatic mists from the warm and humid stones, perfumed with sandalwood and white musk. </p><p style=""white-space: pre-wrap;"">H .75 x W 6” x D 2.5”</p><p style=""white-space: pre-wrap;"">To Purchase: Email us at hello@dixonrye.com or call the shop at 404-883-3939 and we'll be happy to help you with your order.</p>",PHYSICAL,"Home Fragrance/Candlelight, Astier de Villatte",Accessories,TRUE,https://static1.squarespace.com/static/553bbe08e4b08cd58584aa12/5956697b403c66b1c753eb30/5967f205db29d66c01782c55/1499984390418/gath6smf0xxsnt3bdwq0.jpg,79,,,,,,,50.00 USD,0.00 USD,,1,6,2.5,0.7,Unlimited
/shop/astier-de-villatte/scents/products/,Astier-de-Villatte-Stockholm-Incense-ENCSTC1,Astier de Villatte Stockholm Incense ENCSTC1,"<p style=""white-space: pre-wrap;"">Subtly perfumed, Astier de Villatte's incense immediately bring our favorite places home, leaving long scented traces in their wake. Handmade in France. Box of 125 sticks (6¼"" long), approximately 30 minute burn time/stick.</p><p style=""white-space: pre-wrap;"">Scent: The interlaced lanes and cobblestones in this pastel and ochre old city, hide the secret address of the famous Swedish Bitters Elixir ""from Maria's herb garden."" King Gustav II used to give it to his Viking warriors to render them invincible. An inebriating mixture of wild plants, aloe, clove, lavandin and myrrh escapes from the bottle.</p><p style=""white-space: pre-wrap;"">H .75 x W 6” x D 2.5”</p><p style=""white-space: pre-wrap;"">To Purchase: Email us at hello@dixonrye.com or call the shop at 404-883-3939 and we'll be happy to help you with your order.</p>",PHYSICAL,Incense,Scents,TRUE,https://static1.squarespace.com/static/553bbe08e4b08cd58584aa12/5956697b403c66b1c753eb30/5967fc34b3db2be17f25ef90/1499986998157/acv8jehrpewft7dndeyx.jpg,81,,,,,,,50.00 USD,0.00 USD,,1,6,2.5,0.7,Unlimited
/shop/astier-de-villatte/scents/products/,Astier-de-Villatte-Yakushima-Incense-ENCYAK1,Astier de Villatte Yakushima Incense ENCYAK1,"<p style=""white-space: pre-wrap;"">Subtly perfumed, Astier de Villatte's incense immediately bring our favorite places home, leaving long scented traces in their wake. Handmade in France. Box of 125 sticks (6¼"" long), approximately 30 minute burn time/stick.</p><p style=""white-space: pre-wrap;"">Scent: Black tea with its scent of dried hay and slight smokiness of tobacco. Breathe with pleasure the scented streams of Patchouli, Yerbe Mate and Musk, tempered by the delicate freshness of Verveine and Aromatic Lavender.</p><p style=""white-space: pre-wrap;"">H .75 x W 6” x D 2.5”</p><p style=""white-space: pre-wrap;"">To Purchase: Email us at hello@dixonrye.com or call the shop at 404-883-3939 and we'll be happy to help you with your order.</p>",PHYSICAL,Incense,Scents,TRUE,https://static1.squarespace.com/static/553bbe08e4b08cd58584aa12/5956697b403c66b1c753eb30/5967fcaf17bffce64cd965a3/1499987119490/iukpmfuz14wkavce3wt9.jpg,82,,,,,,,50.00 USD,0.00 USD,,1,6,2.5,0.7,Unlimited
/shop/home-fragrance-and-candlelight/,Emilie-Pearls-Incense-Holder-ENCEML13,Emilie Pearls Incense Holder ENCEML13,"<p style=""white-space: pre-wrap;"">Starting with black terracotta, each piece is finished with a milky glaze that amplifies the unique character of the clay, celebrating its imperfections and ensuring that no two pieces are exactly alike.<br></p><ul data-rte-list=""default""><li><p style=""white-space: pre-wrap;"">Price: $55.00</p></li><li><p style=""white-space: pre-wrap;"">Dimensions: 2x2x0.4</p></li><li><p style=""white-space: pre-wrap;"">To Purchase: Email us at hello@dixonrye.com or call the shop at 404-883-3939 and we'll be happy to help you with your order.</p></li></ul>",PHYSICAL,,Accessories,TRUE,https://static1.squarespace.com/static/553bbe08e4b08cd58584aa12/5b76f0b21ae6cfbc7953017e/596819d8a5790ab698dc210f/1547608992594/ENCEML13+-+%5BB%5D%5B2012-08-27%5D.jpg,83,,,,,,,55.00 USD,0.00 USD,,1,2,2,0.4,Unlimited
/shop/home-fragrance-and-candlelight/,Clover-Incense-Holder-ENCCHE11,Clover Incense Holder ENCCHE11,"<p style=""white-space: pre-wrap;"">Starting with black terracotta, each piece is finished with a milky glaze that amplifies the unique character of the clay, celebrating its imperfections and ensuring that no two pieces are exactly alike.<br></p><ul data-rte-list=""default""><li><p style=""white-space: pre-wrap;"">Price: $65.00</p></li><li><p style=""white-space: pre-wrap;"">Dimensions: 1.4x1.6x0.4</p></li><li><p style=""white-space: pre-wrap;"">To Purchase: Email us at hello@dixonrye.com or call the shop at 404-883-3939 and we'll be happy to help you with your order.</p></li></ul>",PHYSICAL,,Accessories,TRUE,https://static1.squarespace.com/static/553bbe08e4b08cd58584aa12/5b76f0b21ae6cfbc7953017e/596809dff5e2317a370ef615/1547609063872/ENCCHE11+-+%5BB%5D%5B2012-08-27%5D.jpg,84,,,,,,,65.00 USD,0.00 USD,,1,1.4,1.6,0.4,Unlimited
/shop/home-fragrance-and-candlelight/,Bouquet-Candle-Lid-for-Glass-Candles-CVRBGE1,Bouquet Candle Lid for Glass Candles CVRBGE1,"<p style=""white-space: pre-wrap;"">Starting with black terracotta, each piece is finished with a milky glaze that amplifies the unique character of the clay, celebrating its imperfections and ensuring that no two pieces are exactly alike.</p><ul data-rte-list=""default""><li><p style=""white-space: pre-wrap;"">Price: $72.00</p></li><li><p style=""white-space: pre-wrap;"">Dimensions: 3.5x3.5x2.8</p></li><li><p style=""white-space: pre-wrap;"">To Purchase: Email us at hello@dixonrye.com or call the shop at 404-883-3939 and we'll be happy to help you with your order.</p></li></ul>",PHYSICAL,,Accessories,TRUE,https://static1.squarespace.com/static/553bbe08e4b08cd58584aa12/5b76f0b21ae6cfbc7953017e/596805e3d1758ee0829aa3b1/1547609013382/CVRBGE1+-+%5BB%5D%5B2009-01-21%5D.jpg,85,,,,,,,72.00 USD,0.00 USD,,1,3.5,3.5,2.8,Unlimited
/shop/home-fragrance-and-candlelight/,Flame-Candle-Lid-for-Glass-Candles-CVRBGE2,Flame Candle Lid for Glass Candles CVRBGE2,"<p style=""white-space: pre-wrap;"">Starting with black terracotta, each piece is finished with a milky glaze that amplifies the unique character of the clay, celebrating its imperfections and ensuring that no two pieces are exactly alike.<br></p><ul data-rte-list=""default""><li><p style=""white-space: pre-wrap;"">Price: $72.00</p></li><li><p style=""white-space: pre-wrap;"">Dimensions: 3.5 x 3.5 x 2.8</p></li><li><p style=""white-space: pre-wrap;"">To Purchase: Email us at hello@dixonrye.com or call the shop at 404-883-3939 and we'll be happy to help you with your order.</p></li></ul>",PHYSICAL,,Accessories,TRUE,https://static1.squarespace.com/static/553bbe08e4b08cd58584aa12/5b76f0b21ae6cfbc7953017e/5968b926e58c62d32484d5e4/1547608982775/CVRBGE2+-+%5BB%5D%5B2009-01-21%5D.jpg,86,,,,,,,72.00 USD,0.00 USD,,1,3.5,3.5,2.8,Unlimited
/shop/home-fragrance-and-candlelight/,"Astier-de-Villate-1871,-Commune-de-Paris-Scented-Candle-BGELCP10","Astier de Villate 1871, Commune de Paris Scented Candle BGELCP10","<p style=""white-space: pre-wrap;"">These luxe candles are crafted from natural vegetable wax and carefully scented with pure soy oil. They're hand poured into simple glass jars and paired with a cotton wick. Each candle is finished with a label, printed by France's last remaining typesetter and featuring a unique image representative of the location it's meant to evoke. Approximately 60 hours burn time.</p><p style=""white-space: pre-wrap;"">H 4” x W 3.5” x D 3.5</p><p style=""white-space: pre-wrap;"">Scent: Gusts of citrus fruit, sharp and alive; lemons from Italy, Bergamot and Scented Geranium all invade the air. Suddenly it's the calm after the storm. A delicious, warm, sweet and slightly powdery mist rises from the cobblestones. Suave Styrax resin and Nutmeg are joined by the scent of green almonds from Coumarin, the celebrated molecule of the age.</p>",PHYSICAL,,"Scented, Astier De Villatte",TRUE,https://static1.squarespace.com/static/553bbe08e4b08cd58584aa12/5b76f0b21ae6cfbc7953017e/5967e609cf81e04b298241e8/1547525798611/BGELCP10+-+%5BB%5D%5B2010-08-31%5D.jpg,87,,,,,,,83.00 USD,0.00 USD,,1,3.5,3.5,3.9,Unlimited
